"Advanced Compare information","Informācija par Advanced Compare" 
"Support by support@etwebsolutions.com<br/>You can hire our team to customize this extension to your theme. Write to sales@etwebsolutions.com","Atbalsts - support@etwebsolutions.com<br/>Jūs varat nolīgt mūsu komandu šī moduļa pielāgošanai Jūsu tēmai. Rakstiet uz sales@etwebsolutions.com"
"Remove Compare Options","Nerādīt salīdzināšanu. Opcijas"
"Remove Compare function","Nerādīt salīdzināšanas funkcionalitāti"
"If Yes - Removes all Add to compare links and compare blok left or right.","Jā - netiks rādītas visas saites pievienot salīdzināšanai un bloks ar precēm, kas pievienotas salīdzināšanai labajā un kreisajā pusē."
"Remove selected links","Nerādīt izvēlētās saites"
"If Yes - Add to compare link will be removed for products with attribute remove_compare_link=Yes","Jā - netiks rādītas saites pievienot salīdzināšanai precēm, kam atribūta remove_compare_link vērtība vienāda jā"
"Compare No Reload Options","Salīdzināšana bez lapas pārlādes (AJAX). Opcijas"
"Enable No Reload function","Ieslēgt salīdzināšanu bez pārlādes"
"If Yes - add to compare, remove from compare and clear compare list will work without reloading page.","Jā - pievienot salīdzināšanai, izslēgt no salīdzināšanas un dzēst salīdzināšanas sarakstu darbosies bez lapas pārlādes."
"Compare Popup Window Options","Preču salīdzināšanas logs. Opcijas"
"Replace Popup template","Aizvietot salīdzināšanas šablonu"
"If Yes - advanced template will be used. Added ability to hide attributes that does not differs.","Jā - tiks izmantots paplašinātais preču salīdzināšanas šablons. Īpašība - iespēja slēpt atribūtus, kuriem neatšķirās vērtības."
"Show similar rows","Parādīt vienādos parametrus"
"Show label after","Parādīt atribūta nosaukumus pēc"
"Shows attribute labels after X products. Default: 3.","Parādīt kolonnu ar atribūta nosaukumiem pēc katrām Х precēm. Pēc noklusēšanas: 3."
"Sort attributes","Sortēt atribūtus"
"If Yes - attributes in compare window will be sorted like in attribute set (in some Magento versions there is no sorting by default).","Jā - atribūti salīzināšanas logā tiks sortēti kā atribūtu kopumā (dažās Magento versijās atribūti netiek sortēti)."
"Limit product comparison","Salīdzināšanas saraksta ierobežojums"
"Limit amount of compared products","Ierobežot sarakstu"
"Maximal amount of products to compare","Maksimālais preču daudzums sarakstā"
"Is used, if ""Limit amount of compared products"" is set to Yes","Darbojas gadījumā, ja izvelvēta opcija ""Ierobežot sarakstu"""
"You have reached a maximal amount (%s) of products to compare simultaneously","Salīdzināšanas saraksts ierobežots. Maksimālais preču daudzums sarakstā (%s)"
